#Parameters = {M=2; N=57.75; a=0.4; b=0.81; d=1.0125; er=3; g=0.01; p=0.8; srr=0.0025; wgr6=1.625}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
127.09999847412	-23.480242057759
127.20999908447	-24.149981362797
127.31999969482	-24.991550194076
127.43000030518	-26.017140087172
127.54000091553	-27.287170701222
127.65000152588	-28.930220377288
127.76000213623	-31.161987338285
127.87000274658	-34.258739375129
127.98000335693	-37.741677312314
128.08999633789	-37.244343608000
128.19999694824	-33.549527955839
128.30999755859	-30.522878084727
128.41999816895	-28.384713642039
128.52999877930	-26.870555877828
128.63999938965	-25.776456494150
128.75000000000	-24.961267964308
128.86000061035	-24.332682849184
128.97000122070	-23.843266078524
129.08000183105	-23.485501220974
129.19000244141	-23.279889357394
129.30000305176	-23.259359333043
129.41000366211	-23.456300307418
129.52000427246	-23.895043238325
129.63000488281	-24.588986934244
129.74000549316	-25.541120579593
129.85000610352	-26.749056409415
129.96000671387	-28.218806528944
130.07000732422	-29.992147884554
130.17999267578	-32.182855946465
130.28999328613	-34.959878772926
130.39999389648	-37.963471319084
130.50999450684	-38.060243101647
130.61999511719	-34.725326335250
130.72999572754	-31.508609000733
130.83999633789	-29.093309220052
130.94999694824	-27.339464370003
131.05999755859	-26.086316572078
131.16999816895	-25.209633541631
131.27999877930	-24.609778418943
131.38999938965	-24.205497345782
131.50000000000	-23.937585982328
131.61000061035	-23.776818393300
131.72000122070	-23.727459088671
131.83000183105	-23.821236741038
131.94000244141	-24.104862412842
132.05000305176	-24.628193779201
132.16000366211	-25.437466842794
132.27000427246	-26.573512024910
132.38000488281	-28.073388044649
132.49000549316	-29.974305246293
132.60000610352	-32.314936985031
132.71000671387	-35.082838285726
132.82000732422	-37.771964382115
132.92999267578	-38.240283412858
133.03999328613	-35.757898970251
133.14999389648	-32.761288635534
133.25999450684	-30.231274245104
133.36999511719	-28.241199915084
133.47999572754	-26.726770001320
133.58999633789	-25.618481112344
133.69999694824	-24.852285428247
133.80999755859	-24.365910058454
133.91999816895	-24.097048471532
134.02999877930	-23.987194352121
134.13999938965	-23.991828178152
134.25000000000	-24.093032389346
134.36000061035	-24.306476412034
134.47000122070	-24.677588142005
134.58000183105	-25.270418190027
134.69000244141	-26.157519074851
134.80000305176	-27.416189043054
134.91000366211	-29.130701083586
135.02000427246	-31.391871112651
135.13000488281	-34.243760615475
135.24000549316	-37.280674318333
135.35000610352	-38.456932225540
135.46000671387	-36.577252505974
135.57000732422	-33.912922310305
135.67999267578	-31.522433489651
135.78999328613	-29.504638074972
135.89999389648	-27.837564963244
136.00999450684	-26.506450567660
136.11999511719	-25.499076455551
