#Parameters = {r=0.1; M=2; N=57.75; a=0.4; b=0.75; d=1.0125; er=3; g=0.01; p=0.8; srr=0.0004; wgr6=1.625}
#"Frequency / GHz"	"S2,1 (1) [Magnitude / dB]"
#---------------------------------------------
130.39999389648	-1.1023879280694
130.50999450684	-1.1134996386823
130.61999511719	-1.1126721691434
130.72999572754	-1.1004569644569
130.83999633789	-1.0821889073504
130.94999694824	-1.0656625194132
131.05999755859	-1.0578763473466
131.16999816895	-1.0622053246385
131.27999877930	-1.0770520070112
131.38999938965	-1.0964052427523
131.50000000000	-1.1121618530501
131.61000061035	-1.1173986717405
131.72000122070	-1.1093058854785
131.83000183105	-1.0904309476498
131.94000244141	-1.0676234202265
132.05000305176	-1.0491887142010
132.16000366211	-1.0415680133659
132.27000427246	-1.0468807636512
132.38000488281	-1.0621702956150
132.49000549316	-1.0805797117031
132.60000610352	-1.0941008921529
132.71000671387	-1.0968735082589
132.82000732422	-1.0876853963070
132.92999267578	-1.0704823527052
133.03999328613	-1.0526321522036
133.14999389648	-1.0417860936611
133.25999450684	-1.0427395673897
133.36999511719	-1.0554818522547
133.47999572754	-1.0751427753776
133.58999633789	-1.0938283082040
133.69999694824	-1.1037719010500
133.80999755859	-1.1005885131402
133.91999816895	-1.0851721377673
134.02999877930	-1.0633304855984
134.13999938965	-1.0433062347881
134.25000000000	-1.0323991776862
134.36000061035	-1.0340907031802
134.47000122070	-1.0467501430141
134.58000183105	-1.0643239683417
134.69000244141	-1.0787781662463
134.80000305176	-1.0834500288739
134.91000366211	-1.0759216996314
135.02000427246	-1.0590990965674
135.13000488281	-1.0399434900918
135.24000549316	-1.0264902309185
135.35000610352	-1.0245135191540
135.46000671387	-1.0351876349979
135.57000732422	-1.0545659009356
135.67999267578	-1.0750559895025
135.78999328613	-1.0884308700624
135.89999389648	-1.0892462709808
136.00999450684	-1.0771811716637
136.11999511719	-1.0571729445116
136.22999572754	-1.0372501436170
136.33999633789	-1.0251466188251
136.44999694824	-1.0251710411180
136.55999755859	-1.0365410956520
136.66999816895	-1.0537240205407
136.77999877930	-1.0686863781645
136.88999938965	-1.0742673528778
137.00000000000	-1.0673019782544
137.11000061035	-1.0500650427039
137.22000122070	-1.0293109803115
137.33000183105	-1.0133758186757
137.44000244141	-1.0087149153299
137.55000305176	-1.0172961566465
137.66000366211	-1.0357905296234
137.77000427246	-1.0568377535038
137.88000488281	-1.0719757632920
137.99000549316	-1.0751656218409
138.10000610352	-1.0653904375948
138.21000671387	-1.0470858676017
138.32000732422	-1.0281426606316
138.42999267578	-1.0165041048040
138.53999328613	-1.0168634384879
138.64999389648	-1.0287766251478
138.75999450684	-1.0468332159988
138.86999511719	-1.0628385512268
138.97999572754	-1.0692486441714
139.08999633789	-1.0624843744325
139.19999694824	-1.0445783172041
139.30999755859	-1.0223302879468
139.41999816895	-1.0043876581098
139.52999877930	-0.99764055260966
139.63999938965	-1.0044480387778
139.75000000000	-1.0217190496740
139.86000061035	-1.0421171788642
139.97000122070	-1.0570434880774
140.08000183105	-1.0602718049727
140.19000244141	-1.0506758994490
140.30000305176	-1.0327225021744
140.41000366211	-1.0144574899102
140.52000427246	-1.0039906187854
140.63000488281	-1.0060756056410
140.74000549316	-1.0201320833863
140.85000610352	-1.0404244522604
140.96000671387	-1.0583205475560
141.07000732422	-1.0659071543735
141.17999267578	-1.0594502282661
141.28999328613	-1.0411218334082
141.39999389648	-1.0180647795929
141.50999450684	-0.99929998019221
141.61999511719	-0.99193688710673
141.72999572754	-0.99830727180120
141.83999633789	-1.0150617565601
141.94999694824	-1.0345209853485
142.05999755859	-1.0478569188692
142.16999816895	-1.0489087551188
142.27999877930	-1.0369607631996
142.38999938965	-1.0171025935446
142.50000000000	-0.99796665849828
142.61000061035	-0.98797887868422
142.72000122070	-0.99180781142555
142.83000183105	-1.0084134100734
142.94000244141	-1.0313672796968
143.05000305176	-1.0513719371934
143.16000366211	-1.0601382939718
143.27000427246	-1.0540030583047
143.38000488281	-1.0356127154402
143.49000549316	-1.0127269540233
143.60000610352	-0.99480778807305
143.71000671387	-0.98899677875281
143.82000732422	-0.99719971994646
143.92999267578	-1.0153226008860
144.03999328613	-1.0349159033312
144.14999389648	-1.0467146459852
144.25999450684	-1.0447026478978
144.36999511719	-1.0289027936741
144.47999572754	-1.0054474742729
144.58999633789	-0.98389731648776
144.69999694824	-0.97313232514551
144.80999755859	-0.97767449143313
144.91999816895	-0.99584047295754
145.02999877930	-1.0203413019154
145.13999938965	-1.0411755356231
145.25000000000	-1.0498288759698
145.36000061035	-1.0430194313498
145.47000122070	-1.0241878279797
145.58000183105	-1.0019151011522
145.69000244141	-0.98608822185105
145.80000305176	-0.98366902763246
145.91000366211	-0.99579489605986
146.02000427246	-1.0172792868864
146.13000488281	-1.0386602913774
146.24000549316	-1.0501527881919
146.35000610352	-1.0459789470493
146.46000671387	-1.0270610698739
146.57000732422	-1.0006827526329
146.67999267578	-0.97727489414479
146.78999328613	-0.96596254695817
146.89999389648	-0.97083142337698
147.00999450684	-0.98932288299159
147.11999511719	-1.0132497098673
147.22999572754	-1.0321557106648
147.33999633789	-1.0378051879887
147.44999694824	-1.0278917237480
147.55999755859	-1.0071081717892
147.66999816895	-0.98498251341795
147.77999877930	-0.97162623736735
147.88999938965	-0.97338990319866
148.00000000000	-0.99020310907856
148.11000061035	-1.0155151313819
148.22000122070	-1.0388683487909
148.33000183105	-1.0502933661647
148.44000244141	-1.0447345804494
148.55000305176	-1.0244022390942
148.66000366211	-0.99777663009241
148.77000427246	-0.97579855473915
148.88000488281	-0.96715380766835
148.99000549316	-0.97470851887375
149.10000610352	-0.99438869696905
149.21000671387	-1.0168557379407
149.32000732422	-1.0314509521793
149.42999267578	-1.0309407401068
149.53999328613	-1.0149005214487
149.64999389648	-0.98998370254965
149.75999450684	-0.96691452506398
149.86999511719	-0.95575679541801
149.97999572754	-0.96164644623606
150.08999633789	-0.98265248961086
150.19999694824	-1.0104438768675
150.30999755859	-1.0336352000875
150.41999816895	-1.0426571657659
150.52999877930	-1.0340709326312
150.63999938965	-1.0121933380601
150.75000000000	-0.98707069161808
150.86000061035	-0.96992508882088
150.97000122070	-0.96828588646219
151.08000183105	-0.98282866146064
151.19000244141	-1.0070444331416
151.30000305176	-1.0298603090314
151.41000366211	-1.0403809867054
151.52000427246	-1.0328628473709
151.63000488281	-1.0095194921155
151.74000549316	-0.97960923091200
151.85000610352	-0.95529227716655
151.96000671387	-0.94638013134922
152.07000732422	-0.95628300330592
152.17999267578	-0.98060379430584
152.28999328613	-1.0088431534142
152.39999389648	-1.0287341347810
152.50999450684	-1.0316394055651
152.61999511719	-1.0165800956942
152.72999572754	-0.99073609794299
152.83999633789	-0.96612618298285
152.94999694824	-0.95421566724407
153.05999755859	-0.96099631190562
153.16999816895	-0.98443959675749
153.27999877930	-1.0151529568948
153.38999938965	-1.0401312467976
153.50000000000	-1.0483420779103
153.61000061035	-1.0358261249654
153.72000122070	-1.0076426749424
153.83000183105	-0.97557402203076
153.94000244141	-0.95281956125202
154.05000305176	-0.94836176770507
154.16000366211	-0.96332526178424
154.27000427246	-0.99052328165344
154.38000488281	-1.0173539161866
154.49000549316	-1.0311817219156
154.60000610352	-1.0250929947383
154.71000671387	-1.0012549493667
154.82000732422	-0.96996132224570
154.92999267578	-0.94492248629917
